"题号","题干","A","B","C","D","E","答案","难度","题型"
"T001","毛泽东思想是马克思列宁主义在中国的运用和发展。","","","","","","正确","简单","判断题"
"T002","新民主主义革命是无产阶级领导的民主革命。","","","","","","正确","简单","判断题"
"T003","中国共产党成立于1921年7月。","","","","","","正确","简单","判断题"
"T004","改革开放是1978年开始的。","","","","","","正确","简单","判断题"
"T005","习近平新时代中国特色社会主义思想是马克思主义中国化的最新成果。","","","","","","正确","中等","判断题"
"T006","中国共产党的最高理想和最终目标是实现共产主义。","","","","","","正确","简单","判断题"
"T007","社会主义核心价值观包括富强、民主、文明、和谐。","","","","","","正确","简单","判断题"
"T008","中国特色社会主义最本质的特征是中国共产党的领导。","","","","","","正确","中等","判断题"
"T009","毛泽东思想活的灵魂是实事求是、群众路线、独立自主。","","","","","","正确","中等","判断题"
"T010","邓小平理论是中国特色社会主义理论体系的重要组成部分。","","","","","","正确","简单","判断题"
"F001","毛泽东思想活的灵魂包括实事求是、群众路线和________。","","","","","","独立自主","中等","填空题"
"F002","中国共产党的最高理想和最终目标是实现________。","","","","","","共产主义","简单","填空题"
"F003","改革开放开始于________年。","","","","","","1978","简单","填空题"
"F004","习近平新时代中国特色社会主义思想是马克思主义________的最新成果。","","","","","","中国化","中等","填空题"
"F005","社会主义核心价值观在国家层面包括富强、民主、文明、________。","","","","","","和谐","简单","填空题"
"F006","中国特色社会主义最本质的特征是________的领导。","","","","","","中国共产党","中等","填空题"
"F007","新民主主义革命的对象是帝国主义、封建主义和________。","","","","","","官僚资本主义","中等","填空题"
"F008","中国共产党成立于________年。","","","","","","1921","简单","填空题"
"F009","邓小平理论的核心内容是________。","","","","","","改革开放","中等","填空题"
"F010",""三个代表"重要思想是指中国共产党要始终代表中国先进生产力的发展要求、代表中国先进文化的前进方向、代表________。","","","","","","中国最广大人民的根本利益","中等","填空题"
